,Brand_name,Trend_Total_Reviews,Month,Year,%positive
149,lotus,152,8,2017,80.26315789473685
150,lotus,133,9,2017,75.93984962406014
151,lotus,241,10,2017,70.95435684647303
152,lotus,199,11,2017,73.36683417085426
153,lotus,231,12,2017,70.12987012987013
154,hilary,8,1,2017,62.5
155,hilary,15,2,2017,80.0
156,hilary,8,3,2017,37.5
157,hilary,4,4,2017,100.0
158,hilary,16012,5,2017,0.062453160129902575
159,hilary,10,6,2017,40.0
160,hilary,56006,7,2017,99.99642895404064
161,hilary,32000,8,2017,100.0
162,hilary,6,9,2017,33.33333333333333
163,hilary,16005,10,2017,0.031240237425804434
164,hilary,48000,11,2017,33.33333333333333
165,hilary,64000,12,2017,100.0
166,rimmel,47,1,2017,74.46808510638297
167,rimmel,91,2,2017,69.23076923076923
168,rimmel,75,3,2017,92.0
169,rimmel,67,4,2017,83.5820895522388
170,rimmel,15,5,2017,80.0
171,rimmel,68,6,2017,100.0
172,rimmel,8,7,2017,50.0
173,rimmel,141,8,2017,63.12056737588653
174,rimmel,136,10,2017,70.58823529411765
175,rimmel,60,11,2017,100.0
176,rimmel,106,12,2017,100.0
177,7_heaven,13,1,2017,76.92307692307693
178,7_heaven,9,2,2017,66.66666666666666
179,7_heaven,11,3,2017,36.36363636363637
180,7_heaven,5,4,2017,80.0
181,7_heaven,22,5,2017,72.72727272727273
182,7_heaven,4,6,2017,100.0
183,7_heaven,3,7,2017,100.0
184,7_heaven,6,9,2017,83.33333333333334
185,7_heaven,2,10,2017,50.0
186,7_heaven,1,11,2017,100.0
187,music,138,1,2017,66.66666666666666
188,music,4116,2,2017,99.44120505344995
189,music,1524,3,2017,96.98162729658793
190,music,5497,4,2017,98.87211206112426
191,music,285,5,2017,73.68421052631578
192,music,256,6,2017,80.46875
193,music,101,7,2017,69.3069306930693
194,music,112,8,2017,71.42857142857143
195,music,268,9,2017,86.19402985074626
196,music,180,10,2017,68.88888888888889
197,music,92,11,2017,61.95652173913043
198,music,63,12,2017,66.66666666666666
199,faces,352,1,2017,86.36363636363636
200,faces,283,2,2017,82.68551236749117
201,faces,252,3,2017,78.96825396825396
202,faces,232,4,2017,84.48275862068965
203,faces,254,5,2017,79.52755905511812
204,faces,281,6,2017,85.05338078291815
205,faces,183,7,2017,81.4207650273224
206,faces,344,8,2017,81.3953488372093
207,faces,464,9,2017,83.62068965517241
208,faces,507,10,2017,84.81262327416174
209,faces,602,11,2017,77.40863787375415
210,faces,571,12,2017,80.9106830122592
211,kudos,2,1,2017,100.0
212,kudos,5,5,2017,60.0
213,me,16,1,2017,75.0
214,me,8,2,2017,50.0
215,me,13,3,2017,92.3076923076923
216,me,11,4,2017,54.54545454545454
217,me,6,5,2017,50.0
218,me,7,6,2017,85.71428571428571
219,me,3,7,2017,0.0
220,me,3,9,2017,100.0
221,me,4,10,2017,100.0
222,me,1,11,2017,0.0
223,me,10,12,2017,100.0
224,hr,20,1,2017,70.0
225,hr,7,2,2017,85.71428571428571
226,hr,6,3,2017,100.0
227,hr,5,4,2017,100.0
228,hr,31,5,2017,58.06451612903226
229,hr,31,6,2017,61.29032258064516
230,hr,26,7,2017,92.3076923076923
231,hr,6,8,2017,66.66666666666666
232,hr,20,9,2017,75.0
233,hr,1,10,2017,100.0
234,hr,7,11,2017,85.71428571428571
235,mars,3,1,2017,33.33333333333333
236,mars,1,2,2017,100.0
237,mars,3,3,2017,100.0
238,mars,8,4,2017,100.0
239,mars,1,5,2017,100.0
240,mars,11,6,2017,54.54545454545454
241,mars,14,7,2017,42.857142857142854
242,mars,3,8,2017,33.33333333333333
243,mars,6,9,2017,83.33333333333334
244,mars,13,10,2017,7.6923076923076925
245,mars,20,11,2017,50.0
246,mars,26,12,2017,65.38461538461539
247,meilin,4,1,2017,0.0
248,meilin,3,2,2017,0.0
249,meilin,2,3,2017,0.0
250,meilin,4,6,2017,25.0
251,meilin,2,7,2017,100.0
252,meilin,1,12,2017,0.0
253,incolor,4,1,2017,50.0
254,incolor,19,2,2017,63.1578947368421
255,incolor,13,3,2017,46.15384615384615
256,incolor,10,4,2017,70.0
257,incolor,146,5,2017,54.109589041095894
258,incolor,203,6,2017,67.48768472906403
259,incolor,3,7,2017,33.33333333333333
260,incolor,12,8,2017,100.0
261,incolor,3,9,2017,33.33333333333333
262,incolor,908,10,2017,71.36563876651982
263,incolor,4,11,2017,50.0
264,incolor,4,12,2017,100.0
265,hope,2,10,2017,0.0
266,avon,49,1,2017,65.3061224489796
267,avon,21,2,2017,71.42857142857143
268,avon,38,3,2017,60.526315789473685
269,avon,16,4,2017,87.5
270,avon,9,5,2017,77.77777777777779
271,avon,8,6,2017,100.0
272,avon,7,7,2017,100.0
273,avon,16,9,2017,81.25
274,avon,12,10,2017,58.333333333333336
275,avon,16,11,2017,68.75
276,avon,4,12,2017,75.0
277,essence,81,1,2017,80.24691358024691
278,essence,104,2,2017,87.5
279,essence,77,3,2017,81.81818181818183
280,essence,45,4,2017,75.55555555555556
281,essence,102,5,2017,70.58823529411765
282,essence,115,6,2017,80.0
283,essence,64,7,2017,73.4375
284,essence,59,8,2017,74.57627118644068
285,essence,116,9,2017,80.17241379310344
286,essence,89,10,2017,78.65168539325843
287,essence,162,11,2017,76.5432098765432
288,essence,209,12,2017,77.03349282296651
289,c,15,1,2017,60.0
290,c,9,2,2017,77.77777777777779
291,c,17,3,2017,47.05882352941176
292,c,24,4,2017,50.0
293,c,18,5,2017,55.55555555555556
294,c,4,6,2017,50.0
295,c,15,7,2017,53.333333333333336
296,c,3,8,2017,0.0
297,c,6,9,2017,66.66666666666666
298,c,7,10,2017,14.285714285714285
299,c,3,12,2017,100.0
300,oriflame,6,1,2017,50.0
301,oriflame,10,2,2017,30.0
302,oriflame,14,3,2017,64.28571428571429
303,oriflame,15,4,2017,40.0
304,oriflame,17,5,2017,82.35294117647058
305,oriflame,10,6,2017,50.0
306,oriflame,6,7,2017,66.66666666666666
307,oriflame,14,8,2017,57.14285714285714
308,oriflame,52,9,2017,53.84615384615385
309,oriflame,44,10,2017,40.909090909090914
310,oriflame,40,11,2017,60.0
311,oriflame,33,12,2017,54.54545454545454
312,castillo,2,2,2017,100.0
313,castillo,4,3,2017,75.0
314,castillo,13,4,2017,15.384615384615385
315,castillo,1,7,2017,100.0
316,ads,31,1,2017,32.25806451612903
317,ads,34,2,2017,32.35294117647059
318,ads,35,3,2017,57.14285714285714
319,ads,18,4,2017,44.44444444444444
320,ads,13,5,2017,46.15384615384615
321,ads,52,6,2017,63.46153846153846
322,ads,21,7,2017,42.857142857142854
323,ads,21,8,2017,47.61904761904761
324,ads,41,9,2017,51.21951219512195
325,ads,46,10,2017,36.95652173913043
326,ads,51,11,2017,66.66666666666666
327,ads,60,12,2017,58.333333333333336
328,blue,119,1,2017,78.99159663865547
329,blue,136,2,2017,78.67647058823529
330,blue,150,3,2017,82.66666666666667
331,blue,109,4,2017,76.14678899082568
332,blue,187,5,2017,79.67914438502673
333,blue,198,6,2017,84.84848484848484
334,blue,169,7,2017,78.69822485207101
335,blue,306,8,2017,82.02614379084967
336,blue,287,9,2017,81.53310104529616
337,blue,305,10,2017,76.72131147540983
338,blue,338,11,2017,89.05325443786982
339,blue,393,12,2017,81.42493638676844
340,insight,34,1,2017,64.70588235294117
341,insight,20,2,2017,80.0
342,insight,9,3,2017,100.0
343,insight,15,4,2017,100.0
344,insight,14,5,2017,78.57142857142857
345,insight,11,6,2017,72.72727272727273
346,insight,31,7,2017,83.87096774193549
347,insight,18,8,2017,38.88888888888889
348,insight,8,9,2017,75.0
349,insight,6,10,2017,100.0
350,insight,14,11,2017,85.71428571428571
351,insight,6,12,2017,83.33333333333334
352,maybeline,11,1,2017,27.27272727272727
353,maybeline,7,2,2017,14.285714285714285
354,maybeline,6,3,2017,50.0
355,maybeline,6,4,2017,50.0
356,maybeline,19,5,2017,84.21052631578947
357,maybeline,10,6,2017,50.0
358,maybeline,5,7,2017,0.0
359,maybeline,16,8,2017,62.5
360,maybeline,21,9,2017,42.857142857142854
361,maybeline,21,10,2017,23.809523809523807
362,maybeline,10,11,2017,20.0
363,maybeline,70,12,2017,72.85714285714285
364,v,4,6,2017,100.0
365,glam21,1,2,2017,0.0
366,glam21,14,3,2017,50.0
367,glam21,36,4,2017,72.22222222222221
368,glam21,10,5,2017,80.0
369,glam21,3,7,2017,100.0
370,glam21,6,8,2017,50.0
371,glam21,4,9,2017,100.0
372,glam21,11,10,2017,45.45454545454545
373,glam21,31,11,2017,61.29032258064516
374,glam21,28,12,2017,75.0
375,forteens,2,2,2017,50.0
376,forteens,1,4,2017,100.0
377,forteens,3,5,2017,66.66666666666666
378,forteens,1,6,2017,100.0
379,forteens,2,7,2017,100.0
380,forteens,2,9,2017,100.0
381,max,2,4,2017,0.0
382,max,2,8,2017,0.0
383,deborah,3,1,2017,100.0
384,deborah,18,2,2017,94.44444444444444
385,deborah,11,3,2017,72.72727272727273
386,deborah,27,4,2017,96.29629629629629
387,deborah,25,5,2017,100.0
388,deborah,28,6,2017,64.28571428571429
389,deborah,16,7,2017,100.0
390,deborah,16,8,2017,100.0
