source_product_id,source,1star_count,2star_count,3star_count,4star_count,5star_count,total_count,average_5star,average_pct
MCREFM4P9YD9JVAC,1,3,2,1,3,1,10,2.7,42.5
B005N009EE,1,0,0,0,0,1,1,5.0,100.0
B0065DLADM,1,0,0,0,0,1,1,5.0,100.0
B007BXMKGQ,1,1,0,0,0,1,2,3.0,50.0
B00DRE234M,1,3,0,1,0,2,6,2.667,41.675
B00FVRDWGQ,1,1,0,0,0,0,1,1.0,0.0
B00FVREDAA,1,0,0,0,2,2,4,4.5,87.5
B00M1HLKG8,1,2,0,3,0,1,6,2.667,41.675
B00QWR73EQ,1,0,1,0,0,0,1,2.0,25.0
B00RNWYFJA,1,0,0,1,1,2,4,4.25,81.25
B00RNXI8HY,1,0,0,0,0,1,1,5.0,100.0
B00SD76Q9Q,1,0,0,1,1,4,6,4.5,87.5
B00UOTU10G,1,0,1,0,1,1,3,3.667,66.675
B00XYELEQS,1,1,2,2,2,0,7,2.714,42.85
B00XYELGYI,1,0,0,2,0,2,4,4.0,75.0
B013I36AI6,1,0,0,3,2,1,6,3.667,66.675
B016UT0JVE,1,3,0,0,0,2,5,2.6,40.0
B01CE5J17G,1,1,0,0,2,2,5,3.8,70.0
B01CJUTUX6,1,1,0,0,1,0,2,2.5,37.5
B01DNTKXN8,1,1,0,0,0,0,1,1.0,0.0
B01G3UKRJO,1,1,0,0,0,0,1,1.0,0.0
B01LLRP4WE,1,1,0,1,0,2,4,3.5,62.5
B01M12VF0N,1,2,0,0,0,0,2,1.0,0.0
672650954419,1,0,0,0,1,1,2,4.5,87.5
158181,1,1,0,0,0,1,2,3.0,50.0
580714937,1,0,0,0,0,2,2,5.0,100.0
654120711650,1,0,0,1,0,1,2,4.0,75.0
638054144929,1,0,0,1,0,2,3,4.333,83.325
1259278,1,0,1,0,0,0,1,2.0,25.0
1259276,1,1,0,0,5,3,9,4.0,75.0
1351081,1,0,0,1,0,0,1,3.0,50.0
646724991618,1,0,0,0,0,2,2,5.0,100.0
77166,1,0,0,0,1,5,6,4.833,95.825
2057908203,1,0,0,0,0,5,5,5.0,100.0
848941721,1,0,0,1,4,4,9,4.333,83.325
680591267030,1,0,0,0,1,1,2,4.5,87.5
129952,1,1,0,0,1,1,3,3.333,58.325
182935,1,0,1,1,3,23,28,4.714,92.85
216717,1,0,0,0,0,2,2,5.0,100.0
193515,1,0,0,0,3,1,4,4.25,81.25
61784,1,0,0,3,2,1,6,3.667,66.675
91123,1,0,0,0,1,1,2,4.5,87.5
182564,1,0,0,0,1,4,5,4.8,95.0
38067,1,1,0,0,3,5,9,4.222,80.55
63803,1,0,0,1,3,3,7,4.286,82.15
214950,1,0,0,0,1,2,3,4.667,91.675
21721,1,0,0,0,4,3,7,4.429,85.725
21720,1,0,0,0,1,1,2,4.5,87.5
6672,1,0,0,1,3,1,5,4.0,75.0
7094,1,0,0,0,5,4,9,4.444,86.1
38606,1,0,0,0,0,3,3,5.0,100.0
61007,1,0,0,1,1,5,7,4.571,89.275
48011,1,0,0,0,1,0,1,4.0,75.0
24596,1,1,0,0,2,2,5,3.8,70.0
32839,1,1,0,2,2,0,5,3.0,50.0
32896,1,0,0,0,0,3,3,5.0,100.0
23330,1,0,1,0,0,0,1,2.0,25.0
16802,1,0,0,0,1,0,1,4.0,75.0
16789,1,0,0,0,3,2,5,4.4,85.0
32276,1,0,0,0,2,2,4,4.5,87.5
55061,1,0,1,0,0,0,1,2.0,25.0
55006,1,0,0,0,1,2,3,4.667,91.675
28989,1,0,0,0,0,1,1,5.0,100.0
25130,1,1,0,3,1,5,10,3.9,72.5
ELRDJ77CYSGMHRB4,1,1,0,0,0,2,3,3.667,66.675
ELRDTYFRH49VKJKN,1,1,0,0,0,1,2,3.0,50.0
ELRE2YAASVZGPKFA,1,1,1,0,1,4,7,3.857,71.425
ELRE39Q4CHGUZTJB,1,0,0,1,0,0,1,3.0,50.0
ELRE3SGPHPWEH57N,1,2,0,0,0,0,2,1.0,0.0
ELRE4MNQTRQVFNEK,1,0,0,0,0,2,2,5.0,100.0
ELRE5M45GZMJDHNX,1,2,1,0,0,1,4,2.25,31.25
ELRE7KY47KPHCKKP,1,2,1,1,1,0,5,2.2,30.0
ELRE7RGB9VYNHZHZ,1,0,1,0,0,0,1,2.0,25.0
ELRE8GGRG7VHYESW,1,1,0,0,1,0,2,2.5,37.5
ELRE9JEYQKMSHFWV,1,3,0,0,0,2,5,2.6,40.0
ELREAEHFYH9HKK8D,1,17,0,1,3,7,28,2.393,34.825
ELREAF2ZNKZDFJ3Z,1,1,0,0,1,1,3,3.333,58.325
ELREAFCDHPQVBHKY,1,2,0,0,0,1,3,2.333,33.325
ELREAHMSATBUXJVQ,1,0,0,1,1,1,3,4.0,75.0
ELREBCMKGHXZR4SJ,1,1,0,0,0,1,2,3.0,50.0
ELREBH5SPSPPHCYP,1,1,1,0,0,0,2,1.5,12.5
ELRECF6D3RFWDWAH,1,4,0,0,0,0,4,1.0,0.0
ELRECHWBNEKG8XHH,1,0,0,1,0,0,1,3.0,50.0
ELRED2ZSHS2ZQ8AB,1,0,1,0,1,5,7,4.429,85.725
ELREDGGEPKUNPRU9,1,0,0,0,1,1,2,4.5,87.5
ELREDKQP5ZQVDSHZ,1,1,0,0,0,2,3,3.667,66.675
ELREDUU9QWNHYF8B,1,2,0,0,3,0,5,2.8,45.0
ELREE2A5CMYRMHRK,1,1,0,3,0,1,5,3.0,50.0
ELREE7VRYHR5SRZF,1,2,0,2,0,5,9,3.667,66.675
ELREE9B7BARC2SBF,1,2,1,0,2,4,9,3.556,63.9
ELREENEMZSDYJPG8,1,2,0,0,3,4,9,3.778,69.45
ELREES7FFZHWWH9E,1,1,0,0,0,1,2,3.0,50.0
ELREF7FPCBGYSJQZ,1,1,0,0,0,0,1,1.0,0.0
ELREFAZCWSBC3SSN,1,6,0,0,0,1,7,1.571,14.275
ELREFXZPWEEKCTBH,1,2,0,0,0,0,2,1.0,0.0
ELREG2QYNFGKXTFR,1,0,1,0,0,1,2,3.5,62.5
ELREG38HMATH9ZGF,1,1,0,1,0,0,2,2.0,25.0
ELREG7RG6M7SBYFS,1,1,0,1,1,0,3,2.667,41.675
ELREG8EGGGMDCX3U,1,1,0,0,1,0,2,2.5,37.5
ELREG8YTN3BGWGSP,1,1,0,1,1,0,3,2.667,41.675
ELREGDV8TXQUMVTY,1,1,0,0,0,0,1,1.0,0.0
ELREGGK6SH9XGEFG,1,1,0,0,0,0,1,1.0,0.0
ELREGGQ3MUDPCH4J,1,0,0,2,1,1,4,3.75,68.75
ELREGKCRY258KKJX,1,1,0,1,0,8,10,4.4,85.0
ELREGZTXCRGGQDWH,1,1,0,2,5,7,15,4.133,78.325
ELREH3ZD5ZHGEM4H,1,6,1,1,0,1,9,1.778,19.45
ELREJCTMAAV46E8D,1,2,0,0,0,0,2,1.0,0.0
ELREMDGUNU4CPB7W,1,0,1,0,0,1,2,3.5,62.5
ELREY7M9CWGZPYEN,1,0,0,1,0,0,1,3.0,50.0
ESDE3JNYEASGDEWZ,1,0,0,0,1,2,3,4.667,91.675
ESDE3RG83GWZNGDJ,1,4,0,0,1,1,6,2.167,29.175
