Brand_name,TotalPositive__Reviews,Month,Year,positive
kveda,5,6,2017,100.0
kveda,4,9,2017,100.0
kveda,1,12,2017,100.0
mn,16,1,2017,81.25
mn,18,2,2017,66.66666666666666
mn,9,3,2017,55.55555555555556
mn,1,4,2017,0.0
mn,14,5,2017,71.42857142857143
mn,20,6,2017,10.0
mn,11,7,2017,81.81818181818183
mn,8,8,2017,37.5
mn,4,9,2017,25.0
mn,12,10,2017,100.0
mn,7,11,2017,14.285714285714285
mn,25,12,2017,84.0
diana,40,1,2017,70.0
diana,45,2,2017,77.77777777777779
diana,42,3,2017,52.38095238095239
diana,35,4,2017,80.0
diana,39,5,2017,79.48717948717949
diana,21,6,2017,66.66666666666666
diana,21,7,2017,61.904761904761905
diana,23,8,2017,52.17391304347826
diana,22,9,2017,59.09090909090909
diana,4,10,2017,50.0
diana,12,11,2017,50.0
diana,16,12,2017,68.75
lotus,66,1,2017,83.33333333333334
lotus,72,2,2017,65.27777777777779
lotus,149,3,2017,71.14093959731544
lotus,73,4,2017,49.31506849315068
lotus,78,5,2017,67.94871794871796
lotus,105,6,2017,75.23809523809524
lotus,86,7,2017,62.7906976744186
lotus,152,8,2017,80.26315789473685
lotus,131,9,2017,77.09923664122137
lotus,241,10,2017,70.95435684647303
lotus,196,11,2017,73.9795918367347
lotus,229,12,2017,70.74235807860262
hilary,8,1,2017,62.5
hilary,15,2,2017,80.0
hilary,8,3,2017,37.5
hilary,4,4,2017,100.0
hilary,14,5,2017,71.42857142857143
hilary,10,6,2017,40.0
hilary,13,7,2017,84.61538461538461
hilary,4,8,2017,100.0
hilary,6,9,2017,33.33333333333333
hilary,7,10,2017,71.42857142857143
hilary,6,11,2017,33.33333333333333
hilary,8,12,2017,100.0
rimmel,41,1,2017,70.73170731707317
rimmel,55,2,2017,70.9090909090909
rimmel,57,3,2017,89.47368421052632
rimmel,31,4,2017,83.87096774193549
rimmel,15,5,2017,80.0
rimmel,26,6,2017,100.0
rimmel,8,7,2017,50.0
rimmel,57,8,2017,61.40350877192983
rimmel,40,10,2017,75.0
rimmel,18,11,2017,100.0
rimmel,34,12,2017,100.0
7_heaven,13,1,2017,76.92307692307693
7_heaven,9,2,2017,66.66666666666666
7_heaven,11,3,2017,36.36363636363637
7_heaven,5,4,2017,80.0
7_heaven,22,5,2017,72.72727272727273
7_heaven,4,6,2017,100.0
7_heaven,3,7,2017,100.0
7_heaven,6,9,2017,83.33333333333334
7_heaven,2,10,2017,50.0
7_heaven,1,11,2017,100.0
music,138,1,2017,66.66666666666666
music,126,2,2017,81.74603174603175
music,194,3,2017,76.28865979381443
music,175,4,2017,65.71428571428571
music,283,5,2017,73.85159010600707
music,256,6,2017,80.46875
music,101,7,2017,69.3069306930693
music,112,8,2017,71.42857142857143
music,266,9,2017,86.09022556390977
music,180,10,2017,68.88888888888889
music,92,11,2017,61.95652173913043
music,60,12,2017,68.33333333333333
faces,351,1,2017,86.32478632478633
faces,283,2,2017,82.68551236749117
faces,251,3,2017,79.2828685258964
faces,231,4,2017,84.84848484848484
faces,253,5,2017,79.44664031620553
faces,281,6,2017,85.05338078291815
faces,183,7,2017,81.4207650273224
faces,342,8,2017,81.87134502923976
faces,459,9,2017,84.0958605664488
faces,507,10,2017,84.81262327416174
faces,596,11,2017,78.18791946308725
faces,569,12,2017,81.01933216168717
kudos,2,1,2017,100.0
kudos,5,5,2017,60.0
me,16,1,2017,75.0
me,8,2,2017,50.0
me,13,3,2017,92.3076923076923
me,11,4,2017,54.54545454545454
me,6,5,2017,50.0
me,7,6,2017,85.71428571428571
me,3,7,2017,0.0
me,3,9,2017,100.0
me,4,10,2017,100.0
me,1,11,2017,0.0
me,10,12,2017,100.0
hr,20,1,2017,70.0
hr,7,2,2017,85.71428571428571
hr,6,3,2017,100.0
hr,5,4,2017,100.0
hr,31,5,2017,58.06451612903226
hr,31,6,2017,61.29032258064516
hr,26,7,2017,92.3076923076923
hr,6,8,2017,66.66666666666666
hr,20,9,2017,75.0
hr,1,10,2017,100.0
hr,7,11,2017,85.71428571428571
mars,3,1,2017,33.33333333333333
mars,1,2,2017,100.0
mars,3,3,2017,100.0
mars,8,4,2017,100.0
mars,1,5,2017,100.0
mars,11,6,2017,54.54545454545454
mars,14,7,2017,42.857142857142854
mars,3,8,2017,33.33333333333333
mars,6,9,2017,83.33333333333334
mars,13,10,2017,7.6923076923076925
mars,20,11,2017,50.0
mars,26,12,2017,65.38461538461539
meilin,4,1,2017,0.0
meilin,2,2,2017,0.0
meilin,2,3,2017,0.0
meilin,4,6,2017,25.0
meilin,2,7,2017,100.0
meilin,1,12,2017,0.0
incolor,4,1,2017,50.0
incolor,19,2,2017,63.1578947368421
incolor,13,3,2017,46.15384615384615
incolor,10,4,2017,70.0
incolor,20,5,2017,80.0
incolor,14,6,2017,78.57142857142857
incolor,3,7,2017,33.33333333333333
incolor,12,8,2017,100.0
incolor,3,9,2017,33.33333333333333
incolor,26,10,2017,69.23076923076923
incolor,4,11,2017,50.0
incolor,4,12,2017,100.0
hope,2,10,2017,0.0
avon,49,1,2017,65.3061224489796
avon,21,2,2017,71.42857142857143
avon,38,3,2017,60.526315789473685
avon,16,4,2017,87.5
avon,9,5,2017,77.77777777777779
avon,8,6,2017,100.0
avon,7,7,2017,100.0
avon,16,9,2017,81.25
avon,12,10,2017,58.333333333333336
avon,16,11,2017,68.75
avon,4,12,2017,75.0
essence,81,1,2017,80.24691358024691
essence,104,2,2017,87.5
essence,77,3,2017,81.81818181818183
essence,45,4,2017,75.55555555555556
essence,102,5,2017,70.58823529411765
essence,115,6,2017,80.0
essence,64,7,2017,73.4375
essence,59,8,2017,74.57627118644068
essence,115,9,2017,80.0
essence,89,10,2017,78.65168539325843
essence,160,11,2017,76.875
essence,207,12,2017,77.77777777777779
c_a_l_los_angeles,15,1,2017,60.0
c_a_l_los_angeles,9,2,2017,77.77777777777779
c_a_l_los_angeles,17,3,2017,47.05882352941176
c_a_l_los_angeles,24,4,2017,50.0
c_a_l_los_angeles,18,5,2017,55.55555555555556
c_a_l_los_angeles,4,6,2017,50.0
c_a_l_los_angeles,15,7,2017,53.333333333333336
c_a_l_los_angeles,3,8,2017,0.0
c_a_l_los_angeles,6,9,2017,66.66666666666666
c_a_l_los_angeles,7,10,2017,14.285714285714285
c_a_l_los_angeles,3,12,2017,100.0
oriflame,6,1,2017,50.0
oriflame,10,2,2017,30.0
oriflame,14,3,2017,64.28571428571429
oriflame,15,4,2017,40.0
oriflame,17,5,2017,82.35294117647058
oriflame,10,6,2017,50.0
oriflame,6,7,2017,66.66666666666666
oriflame,14,8,2017,57.14285714285714
oriflame,52,9,2017,53.84615384615385
oriflame,44,10,2017,40.909090909090914
oriflame,39,11,2017,61.53846153846154
oriflame,33,12,2017,54.54545454545454
castillo,2,2,2017,100.0
castillo,4,3,2017,75.0
castillo,13,4,2017,15.384615384615385
castillo,1,7,2017,100.0
ads,31,1,2017,32.25806451612903
ads,33,2,2017,33.33333333333333
ads,32,3,2017,53.125
ads,18,4,2017,44.44444444444444
ads,13,5,2017,46.15384615384615
ads,51,6,2017,62.745098039215684
ads,21,7,2017,42.857142857142854
ads,20,8,2017,50.0
ads,40,9,2017,52.5
ads,46,10,2017,36.95652173913043
ads,50,11,2017,68.0
ads,60,12,2017,58.333333333333336
blue,119,1,2017,78.99159663865547
blue,136,2,2017,78.67647058823529
blue,150,3,2017,82.66666666666667
blue,108,4,2017,75.92592592592592
blue,187,5,2017,79.67914438502673
blue,197,6,2017,85.27918781725889
blue,168,7,2017,79.16666666666666
blue,305,8,2017,82.29508196721311
blue,286,9,2017,81.81818181818183
blue,305,10,2017,76.72131147540983
blue,337,11,2017,89.31750741839762
blue,391,12,2017,81.84143222506394
insight,34,1,2017,64.70588235294117
insight,20,2,2017,80.0
insight,9,3,2017,100.0
insight,15,4,2017,100.0
insight,14,5,2017,78.57142857142857
insight,11,6,2017,72.72727272727273
insight,31,7,2017,83.87096774193549
insight,18,8,2017,38.88888888888889
insight,8,9,2017,75.0
insight,6,10,2017,100.0
insight,14,11,2017,85.71428571428571
insight,6,12,2017,83.33333333333334
maybeline,11,1,2017,27.27272727272727
maybeline,7,2,2017,14.285714285714285
maybeline,6,3,2017,50.0
maybeline,6,4,2017,50.0
