Brand_name,Total_positive_fragments,Total_review_fragments,Total_positive percentage,Flipkart_total_positive,Flipkart,Amazon_total_positive,Amazon,Nyka_total_positive,Nyka
high,224,314,0.7133757961783439,224,100.0,0,0.0,0,0.0
bonjour,17,26,0.6538461538461539,7,41.17647058823529,10,58.82352941176471,0,0.0
personi,4,11,0.36363636363636365,4,100.0,0,0.0,0,0.0
vov,7,19,0.3684210526315789,7,100.0,0,0.0,0,0.0
leol,5,7,0.7142857142857143,5,100.0,0,0.0,0,0.0
smolder,19,38,0.5,0,0.0,19,100.0,0,0.0
nyx,28,48,0.5833333333333334,2,7.142857142857142,26,92.85714285714286,0,0.0
elf,28,36,0.7777777777777778,4,14.285714285714285,24,85.71428571428571,0,0.0
kodiake,20,24,0.8333333333333334,0,0.0,20,100.0,0,0.0
max,5,8,0.625,1,20.0,4,80.0,0,0.0
eucerin,1,5,0.2,0,0.0,1,100.0,0,0.0
inglot,52,56,0.9285714285714286,0,0.0,52,100.0,0,0.0
l,9,11,0.8181818181818182,0,0.0,9,100.0,0,0.0
biotique,13,29,0.4482758620689655,0,0.0,13,100.0,0,0.0
elle,2284,2922,0.7816563997262149,0,0.0,1258,55.07880910683012,1026,44.92119089316988
deborah,41,76,0.5394736842105263,5,12.195121951219512,36,87.8048780487805,0,0.0
simply,15,17,0.8823529411764706,0,0.0,15,100.0,0,0.0
heavens,79,128,0.6171875,0,0.0,79,100.0,0,0.0
great,4,5,0.8,0,0.0,4,100.0,0,0.0
covergirl,0,4,0.0,0,0.0,0,0.0,0,0.0
heaven,8,16,0.5,0,0.0,8,100.0,0,0.0
mahavir,10,13,0.7692307692307693,0,0.0,10,100.0,0,0.0
now,4,5,0.8,0,0.0,4,100.0,0,0.0
eyeliner,14,21,0.6666666666666666,0,0.0,14,100.0,0,0.0
aloe,1,2,0.5,0,0.0,1,100.0,0,0.0
my,4,4,1.0,0,0.0,4,100.0,0,0.0
neev,12,27,0.4444444444444444,0,0.0,12,100.0,0,0.0
evuar,24,30,0.8,0,0.0,24,100.0,0,0.0
liner,3,14,0.21428571428571427,0,0.0,3,100.0,0,0.0
long,2,5,0.4,0,0.0,2,100.0,0,0.0
eye,1,1,1.0,0,0.0,1,100.0,0,0.0
perfect,2,7,0.2857142857142857,0,0.0,2,100.0,0,0.0
elenblu,19,21,0.9047619047619048,0,0.0,19,100.0,0,0.0
smokey,3,7,0.42857142857142855,0,0.0,3,100.0,0,0.0
menow,163,231,0.7056277056277056,6,3.6809815950920246,157,96.31901840490798,0,0.0
fashion,3,5,0.6,0,0.0,3,100.0,0,0.0
colors,63,85,0.7411764705882353,0,0.0,63,100.0,0,0.0
patanjali,12,21,0.5714285714285714,0,0.0,12,100.0,0,0.0
roseleaf,8,8,1.0,0,0.0,8,100.0,0,0.0
stars,28,45,0.6222222222222222,0,0.0,28,100.0,0,0.0
7_heavens,61,66,0.9242424242424242,0,0.0,61,100.0,0,0.0
glams,32,37,0.8648648648648649,0,0.0,32,100.0,0,0.0
anna,20,37,0.5405405405405406,0,0.0,20,100.0,0,0.0
l_a_girl,442,526,0.8403041825095057,0,0.0,0,0.0,442,100.0
clinique,15,15,1.0,9,60.0,6,40.0,0,0.0
glamcom,9,16,0.5625,9,100.0,0,0.0,0,0.0
nicka,23,34,0.6764705882352942,23,100.0,0,0.0,0,0.0
urban,22,89,0.24719101123595505,22,100.0,0,0.0,0,0.0
br,22,47,0.46808510638297873,20,90.9090909090909,2,9.090909090909092,0,0.0
cameo,13,28,0.4642857142857143,13,100.0,0,0.0,0,0.0
color4ever,4,8,0.5,4,100.0,0,0.0,0,0.0
insiti,2,4,0.5,2,100.0,0,0.0,0,0.0
meylon,12,26,0.46153846153846156,12,100.0,0,0.0,0,0.0
brndey,1,5,0.2,1,100.0,0,0.0,0,0.0
pac,0,1,0.0,0,0.0,0,0.0,0,0.0
estee,2,2,1.0,2,100.0,0,0.0,0,0.0
amura,22,37,0.5945945945945946,22,100.0,0,0.0,0,0.0
elizabeth,4,4,1.0,4,100.0,0,0.0,0,0.0
emaxdesign,10,11,0.9090909090909091,0,0.0,10,100.0,0,0.0
extreme,4,14,0.2857142857142857,0,0.0,4,100.0,0,0.0
transparent,6,12,0.5,0,0.0,6,100.0,0,0.0
600pcs,2,2,1.0,0,0.0,2,100.0,0,0.0
kajal,5,14,0.35714285714285715,0,0.0,5,100.0,0,0.0
vozwa,10,15,0.6666666666666666,0,0.0,10,100.0,0,0.0
combo,1,2,0.5,0,0.0,1,100.0,0,0.0
himalaya,9,9,1.0,0,0.0,9,100.0,0,0.0
cal,4,10,0.4,4,100.0,0,0.0,0,0.0
one,0,1,0.0,0,0.0,0,0.0,0,0.0
