source_product_id,source,1star_count,2star_count,3star_count,4star_count,5star_count,total_count,average_5star,average_pct
35494,1,2,3,4,24,28,61,4.197,79.925
ELRDJ77CYSGMHRB4,1,1,0,0,0,2,3,3.667,66.675
ELRDTYFRH49VKJKN,1,1,0,0,0,1,2,3.0,50.0
ELRDY9NBHAHCXHSE,1,2,0,0,0,0,2,1.0,0.0
ELRE6F845RTYFXHF,1,2,0,0,0,0,2,1.0,0.0
ELRE73V3ZPSTU5ZS,1,2,1,0,0,0,3,1.333,8.325
ELRE83FNNJPBHN24,1,1,0,0,0,0,1,1.0,0.0
ELREAHMSATBUXJVQ,1,0,0,1,1,1,3,4.0,75.0
ELREB7C4VVYHYJDP,1,1,0,0,0,0,1,1.0,0.0
ELREDUU9QWNHYF8B,1,2,0,0,3,0,5,2.8,45.0
ELREE9B7BARC2SBF,1,2,0,0,2,3,7,3.571,64.275
ELREEH82KSAH3FB4,1,8,0,2,1,1,12,1.917,22.925
ELREF7FPUEGJGTGQ,1,3,1,3,2,1,10,2.7,42.5
ELREFAZBYFXJGAGQ,1,1,0,0,0,1,2,3.0,50.0
ELREFAZCWSBC3SSN,1,7,0,0,0,1,8,1.5,12.5
ELREFBFEP5WDYHE8,1,0,0,2,0,1,3,3.667,66.675
ELREFN9FH5ET3E4M,1,0,1,0,1,1,3,3.667,66.675
ELREG7RG6M7SBYFS,1,1,0,1,1,0,3,2.667,41.675
ELREG8EGGGMDCX3U,1,1,0,0,1,0,2,2.5,37.5
ELREGGK6SH9XGEFG,1,1,0,0,0,0,1,1.0,0.0
ELREGGQ3MUDPCH4J,1,0,0,2,1,1,4,3.75,68.75
ELREGKCRY258KKJX,1,1,0,2,0,7,10,4.2,80.0
ELREH3ZD5ZHGEM4H,1,5,1,1,0,1,8,1.875,21.875
ELREHWC73EAK2Z5C,1,0,0,0,2,7,9,4.778,94.45
ELREJCDB6HC7RSSQ,1,2,0,0,0,3,5,3.4,60.0
ELREJCTMAAV46E8D,1,2,0,0,0,0,2,1.0,0.0
ELREKB98XNHGQAUV,1,5,0,0,0,3,8,2.5,37.5
ELREY7M9CWGZPYEN,1,0,0,1,0,0,1,3.0,50.0
ELREYGVRCHRWUTHN,1,0,1,1,0,1,3,3.333,58.325
ESDD96FECZDYCX89,1,1,0,0,0,1,2,3.0,50.0
ESDDFPSFGMMP4V2P,1,0,0,1,1,0,2,3.5,62.5
ESDE3JNYEASGDEWZ,1,0,0,1,1,2,4,4.25,81.25
ESDE3JNYED5KKBVH,1,1,0,1,1,1,4,3.25,56.25
ESDE3RG83GWZNGDJ,1,4,0,0,1,1,6,2.167,29.175
