Brand_name,Total_positive_fragments,Total_review_fragments,Total_positive percentage,Flipkart_total_positive,Flipkart,Amazon_total_positive,Amazon,Nyka_total_positive,Nyka
mamaearth,327,386,0.8471502590673575,0,0.0,0,0.0,327,100.0
set,2,2,1.0,0,0.0,0,0.0,2,100.0
kaya,496,636,0.779874213836478,0,0.0,0,0.0,496,100.0
calvin,237,290,0.8172413793103448,0,0.0,0,0.0,237,100.0
estee,46,55,0.8363636363636363,0,0.0,0,0.0,46,100.0
vanesa,210,282,0.7446808510638298,0,0.0,0,0.0,210,100.0
oriflame,87,113,0.7699115044247787,0,0.0,0,0.0,87,100.0
cinthol,403,550,0.7327272727272728,0,0.0,0,0.0,403,100.0
vedic,193,278,0.6942446043165468,0,0.0,0,0.0,193,100.0
davidoff,187,227,0.8237885462555066,0,0.0,0,0.0,187,100.0
elizabeth,35,40,0.875,0,0.0,0,0.0,35,100.0
engage,80,103,0.7766990291262136,0,0.0,0,0.0,80,100.0
juicy,122,166,0.7349397590361446,0,0.0,0,0.0,122,100.0
aromamagic,122,145,0.8413793103448276,0,0.0,0,0.0,122,100.0
palmers,157,188,0.8351063829787234,0,0.0,0,0.0,157,100.0
faces,14,20,0.7,0,0.0,0,0.0,14,100.0
denver,78,96,0.8125,0,0.0,0,0.0,78,100.0
sebamed,113,145,0.7793103448275862,0,0.0,0,0.0,113,100.0
nike,161,202,0.7970297029702971,0,0.0,0,0.0,161,100.0
daily,4,5,0.8,0,0.0,0,0.0,4,100.0
lanvin,20,26,0.7692307692307693,0,0.0,0,0.0,20,100.0
fabindia,165,224,0.7366071428571429,0,0.0,0,0.0,165,100.0
dolce,13,20,0.65,0,0.0,0,0.0,13,100.0
swiss,43,56,0.7678571428571429,0,0.0,0,0.0,43,100.0
boroplus,33,42,0.7857142857142857,0,0.0,0,0.0,33,100.0
yardley,218,271,0.8044280442804428,0,0.0,0,0.0,218,100.0
natural,32,56,0.5714285714285714,0,0.0,0,0.0,32,100.0
ylg,6,6,1.0,0,0.0,0,0.0,6,100.0
ralph,49,64,0.765625,0,0.0,0,0.0,49,100.0
fogg,48,74,0.6486486486486487,0,0.0,0,0.0,48,100.0
natio,29,44,0.6590909090909091,0,0.0,0,0.0,29,100.0
kiehl,53,90,0.5888888888888889,0,0.0,0,0.0,53,100.0
united,19,24,0.7916666666666666,0,0.0,0,0.0,19,100.0
all,101,131,0.7709923664122137,0,0.0,0,0.0,101,100.0
just,142,176,0.8068181818181818,0,0.0,0,0.0,142,100.0
dermalogica,15,15,1.0,0,0.0,0,0.0,15,100.0
roses,24,29,0.8275862068965517,0,0.0,0,0.0,24,100.0
clinique,61,67,0.9104477611940298,0,0.0,0,0.0,61,100.0
puresense,68,81,0.8395061728395061,0,0.0,0,0.0,68,100.0
givenchy,21,23,0.9130434782608695,0,0.0,0,0.0,21,100.0
biocare,38,43,0.8837209302325582,0,0.0,0,0.0,38,100.0
pucelle,27,37,0.7297297297297297,0,0.0,0,0.0,27,100.0
vivel,51,54,0.9444444444444444,0,0.0,0,0.0,51,100.0
archies,29,33,0.8787878787878788,0,0.0,0,0.0,29,100.0
shahnaz,6,6,1.0,0,0.0,0,0.0,6,100.0
axe,20,31,0.6451612903225806,0,0.0,0,0.0,20,100.0
garnier,690,852,0.8098591549295775,0,0.0,0,0.0,690,100.0
carolina,41,44,0.9318181818181818,0,0.0,0,0.0,41,100.0
colorbar,25,27,0.9259259259259259,0,0.0,0,0.0,25,100.0
bvlgari,23,28,0.8214285714285714,0,0.0,0,0.0,23,100.0
marc,55,66,0.8333333333333334,0,0.0,0,0.0,55,100.0
jimmy,10,15,0.6666666666666666,0,0.0,0,0.0,10,100.0
khadi,15,20,0.75,0,0.0,0,0.0,15,100.0
chloe,30,38,0.7894736842105263,0,0.0,0,0.0,30,100.0
nautica,0,4,0.0,0,0.0,0,0.0,0,0.0
happily,1,2,0.5,0,0.0,0,0.0,1,100.0
india,4,4,1.0,0,0.0,0,0.0,4,100.0
coach,14,22,0.6363636363636364,0,0.0,0,0.0,14,100.0
roberto,11,14,0.7857142857142857,0,0.0,0,0.0,11,100.0
mac,2,4,0.5,0,0.0,0,0.0,2,100.0
eva,57,62,0.9193548387096774,0,0.0,0,0.0,57,100.0
kamasutra,0,1,0.0,0,0.0,0,0.0,0,0.0
panache,12,15,0.8,0,0.0,0,0.0,12,100.0
disney,4,4,1.0,0,0.0,0,0.0,4,100.0
uriage,4,4,1.0,0,0.0,0,0.0,4,100.0
votre,6,8,0.75,0,0.0,0,0.0,6,100.0
coloressence,17,22,0.7727272727272727,0,0.0,0,0.0,17,100.0
skin,43,47,0.9148936170212766,0,0.0,0,0.0,43,100.0
it,36,48,0.75,0,0.0,0,0.0,36,100.0
montblanc,1,1,1.0,0,0.0,0,0.0,1,100.0
narciso,1,1,1.0,0,0.0,0,0.0,1,100.0
