Brand_name,TotalPositive__Reviews,Month,Year,positive
bioderma,2,10,2017,100.0
bioderma,22,11,2017,86.36363636363636
bioderma,9,12,2017,100.0
vaseline,231,1,2017,84.4155844155844
vaseline,152,2,2017,90.13157894736842
vaseline,144,3,2017,87.5
vaseline,147,4,2017,80.27210884353741
vaseline,221,5,2017,81.90045248868778
vaseline,197,6,2017,85.78680203045685
vaseline,71,7,2017,84.50704225352112
vaseline,118,8,2017,93.22033898305084
vaseline,183,9,2017,91.80327868852459
vaseline,205,10,2017,83.41463414634146
vaseline,353,11,2017,86.96883852691218
vaseline,267,12,2017,77.15355805243446
biotique,249,1,2017,82.32931726907631
